彼『うちの上司っていつもミーティング長引くんだよね。いやんなっちゃう。』	犬『す、すみません。他に用事がなかったから・・』
彼『自分の言いたいことが思うようにいえない・・・』	犬『当たり前だ言いたいこと言ったら殺されちゃうんだから。言えるもんなら言ってみろ。あなたはどうしてそんな顔に生まれたんですか?かかってこい！ね?言えないでしょ?』
彼『最近物わかりの悪い奴ばかりでつらいんだよなー』	犬『物わかりよかったらみんなお前にだまされちゃうよ。誰がお前なんかにだまされるもんか』
彼『なんであの人は考えなしに何でも喋るんだろ。俺が言った上司のウワサも本人に言うんだもんな～』	犬『考えてたら何もいえないからさ、とりあえず何でも喋っちゃう。不安だから誰かが口を挟まないように否定されるスキを与えないように・・・ハァハァハァ・・・』
彼『人から色々学ぶって必要だってこたぁわかってるんだけど、できないなぁ・・・』	犬『必要だなんて言っているうちは何も学ばないんだ。ゆとりあるふりしてえらっそうに』
彼『俺、集中力ないって子供のときから言われてたからなぁ。こんな俺にキャリアアップなんて無理?』	犬『集中力なんていくらでもあるんだよ。集中する対象がないってだけで』
彼『責任ない奴は気楽でいいよな。こっちは死活問題だっていうのにさ』	犬『その分いい思いしようとしているくせに。何言ってんだろうねまったく。』
彼『つぶれるまで飲んだらこっちに迷惑ってわかんないのかな、まったく』	犬『しらふで人に迷惑かけられるほど気が大きくないんだよ。つぶれて正体がなくなってからの迷惑を楽しんでんの。』
彼『メールって時間があくからイヤだよね。返事が来ないと、なんか気に障ること書いちゃったかなーなんて気になって・・・』	犬『そうそう、相手も同じだよ。そのうち気にならなくなるよ。「メル友」500人くらいいるといいんだ。それでね、大事な人とはメール交換なんてしない。最低電話、基本は顔合わせて話す。いいね！』
彼『頭が固い人って本当に困る。学ぶ姿勢がないと一緒に仕事してても辛いよね。』	犬『頭固いの?ぶってみた?痛かった?学ぶ姿勢ってやっぱり正座かな?』
彼『自分以外の人ばかりが注目されてる気がする・・・ううっ俺なんか俺なんか』	犬『ああ　イヤだイヤだ』
彼『心を許せる人が周りにいない・・・』	犬『俺は犬にだって心を許さないようにしている。ちょっとさみしいだけだ。』
彼『この一歩を踏み出す勇気がない。踏み出せば変わるような気がするから背中を押してくれ！』	犬『やなこったヒラリと体をかわすもんなお前は』
彼『最近、下腹が出てきて気になるなービールの飲みすぎ?』	犬『年だよ年。ビールじゃないの』
彼『運動しなきゃいけないと思うんだけど、続かないんだよねぇ』	犬『続かないのは運動だけじゃないだろ?早起き・散歩・朝食・禁酒・嘘つかない・読書・テレビ見ない・日記つける・・・続いてるのは続けられないことの後悔だけかもね。』
彼『あのさーどこにも出口がない会話ってどうすればいいのさ疲れるんだよね』	犬『どうでもいいからお前、仕事しろよな』
彼『上司の要望聞いてるばっかりだよ。たまには俺の要望だって聞いてほしい』	犬『言えるもんなら言ってみな！』
彼『あの人、俺に隠し事があるみたい。一緒にいてぎくしゃくするんだよ。でも聞くのもこわいしなー』	犬『やっぱりどこか弱みのひとつやふたつ握っておかないとね。いつ足元すくわれるかわかりゃしないんだから』
彼『やっぱりいつでも裏表がない人でいなくっちゃ！』	犬『そりゃ君、ニセのコインみたいだよ俺は、裏表ある人が好きだな。時々、裏表だし間違ったりする時、その人に出会ったなぁって気がする』
彼『仕事覚えろって言っときながらここじゃ何も教えてくれないよ』	犬『一目見て上司はさじ投げた。お前に教えるのやーめたって』
彼『人の悪口ばっかり言ってるよあいつ。じゃあ自分はどうなんだよって言いたくなるよ。』	犬『・・・じゃあ自分はどうなんだよ』
彼『嫌味な同僚にもううんざり。嫌味を言わせない方法ってあるのかな?』	犬『言ってやれよ嫌味を言うなって。それを言えないような奴は延々嫌味を聞いちゃうはめになるわけよ』
彼『みんな頭よさそうな顔してるなぁ置いていかれたらどうしよう』	犬『そうそう他の人はお利口さんなんだから、お前は頭使わないでいいから、体で勝負しなさい』
彼『自分の良さがわからない・・・』	犬『自分の良さを見つけたい?そう言って俺に「お前っていいなー」って言わせたいだけだろうが、このバカが。』
彼『若いころは何でもできる気でいたっけな・・・。最近はそんな勢い失せちゃった。これからどうしよう・・・』	犬『何でもできたのに、何もしなかったんだろ?これからだって同じだから心配することないよ』
彼『どうしてうちの上司ってあんなに偉そうなんだろ』	犬『偉そうだから上司になったんだでも偉そうにし続けてるとそこには長くいられないんだな』
彼『うるさいなー電車の中でケータイ使うなよ』	犬『相手がこんな人でもそう言うのか?』
彼『いちいち遠まわしに嫌味言うな！』	犬『直接言ったら暴れるくせにわかんないこと言うな！』
彼『もっと社交的で明るくて話し上手だったら人生うまくいってると思うんだけど・・・』	犬『それがそうでもないんだな社交的で明るい本人は案外無理して辛かったり、周りの人間が苦労してたりしてね』
彼『もっとスキルアップしたい・・・』	犬『オレにかまわずスキルアップでも何でもしたいだけしろ馬鹿が』
彼『毎日同じことばかりで刺激がないなぁ・・・』	犬『そういうお前と毎日顔を合わせてる方の身にもなってみろ』
彼『次から次へとなんでこんなに仕事があるんだろう、疲れたよ～』	犬『なら、もう一生仕事まわさない』
彼『今日合コンだってどうせいい相手なんていないんだろうなぁ・・・めんどくさい』	犬『だったら行くなよ。偉そうに。』
彼『現実を見ろって言われた・・・現実って何?』	犬『難しいこと言うな鏡を見ろ。体重計に乗れ。財布の中身を見ろ。私信のメールを数えろ。それが現実だ。』
